"year","lines","file"
2015,96,day10.py
2015,58,day11.py
2015,42,day12.py
2015,112,day13.py
2015,56,day14.R
2015,56,day15.R
2015,53,day16.R
2015,39,day17.py
2015,75,day18.py
2015,66,day19.py
2015,26,day1.py
2015,41,day20.py
2015,118,day21.R
2015,211,day22.py
2015,73,day23.py
2015,131,day24.py
2015,24,day25.py
2015,17,day2.R
2015,35,day3.py
2015,20,day4.py
2015,14,day5.py
2015,38,day6.R
2015,59,day7.py
2015,50,day8.py
2015,100,day9.py
2015,1610,total
2016,99,day10.py
2016,296,day11.py
2016,17,day12.py
2016,121,day13.py
2016,56,day14.py
2016,56,day15.py
2016,157,day16.py
2016,92,day17.py
2016,33,day18.py
2016,26,day19.py
2016,173,day1.py
2016,40,day20.py
2016,148,day21.py
2016,129,day22.py
2016,20,day23.py
2016,126,day24.py
2016,44,day25.py
2016,90,day2.py
2016,18,day3.R
2016,79,day4.py
2016,31,day5.py
2016,15,day6.R
2016,32,day7.py
2016,60,day8.R
2016,76,day9.py
2016,2034,total
2017,15,day10.py
2017,41,day11.py
2017,55,day12.js
2017,40,day13.js
2017,59,day14.py
2017,40,day15.js
2017,72,day16.py
2017,37,day17.py
2017,194,day18.py
2017,47,day19.py
2017,102,day19.R
2017,17,day1.py
2017,67,day20.R
2017,105,day21.R
2017,65,day22.py
2017,189,day23.js
2017,90,day24.py
2017,44,day25.py
2017,25,day2.py
2017,130,day3.cpp
2017,14,day4.py
2017,30,day5.py
2017,35,day6.js
2017,101,day7.js
2017,42,day8.js
2017,24,day9.py
2017,1680,total
2018,56,day10.R
2018,65,day11.R
2018,85,day12.py
2018,138,day13.py
2018,56,day14.js
2018,344,day15.py
2018,172,day16.py
2018,175,day17.py
2018,108,day18.py
2018,44,day19.py
2018,24,day1.js
2018,72,day20.py
2018,75,day21.py
2018,217,day22.py
2018,378,day23.py
2018,218,day24.py
2018,33,day25.py
2018,61,day2.js
2018,53,day3.py
2018,58,day4.R
2018,41,day5.py
2018,104,day6.py
2018,107,day7.py
2018,52,day8.py
2018,59,day9.py
2018,2795,total
2019,130,day10.py
2019,61,day11.py
2019,118,day12.R
2019,106,day13.py
2019,288,day14.py
2019,139,day15.py
2019,61,day16.R
2019,212,day17.py
2019,290,day18.py
2019,95,day19.py
2019,35,day1.rkt
2019,176,day20.py
2019,71,day21.py
2019,125,day22.py
2019,94,day23.py
2019,149,day24.py
2019,201,day25.py
2019,33,day2.py
2019,60,day3.js
2019,0,day4.py
2019,34,day4.rkt
2019,19,day5.py
2019,72,day6.rkt
2019,56,day7.py
2019,114,day8.lua
2019,18,day9.py
2019,2757,total
2020,61,day10.py
2020,92,day11.R
2020,54,day12.py
2020,81,day13.js
2020,116,day14.js
2020,27,day15.py
2020,84,day16.py
2020,69,day17.py
2020,32,day18.R
2020,109,day19.py
2020,19,day1.py
2020,322,day20.py
2020,51,day21.R
2020,58,day22.js
2020,102,day23.py
2020,90,day24.py
2020,34,day25.lua
2020,33,day2.py
2020,28,day3.js
2020,62,day4.js
2020,37,day5.js
2020,31,day6.js
2020,55,day7.py
2020,50,day8.js
2020,77,day9.js
2020,1774,total
2021,66,day10.py
2021,57,day11.R
2021,102,day12.py
2021,40,day13.R
2021,76,day14.py
2021,114,day15.py
2021,148,day16.py
2021,59,day17.py
2021,108,day18.py
2021,141,day19.R
2021,10,day1.R
2021,82,day20.py
2021,178,day21.R
2021,101,day22.py
2021,6197,day23_part1.jpg
2021,7982,day23_part2.jpg
2021,414,day23.py
2021,100,day24.py
2021,70,day25.py
2021,32,day2.R
2021,53,day3.py
2021,56,day4.R
2021,35,day5.R
2021,33,day6.py
2021,42,day7.R
2021,97,day8.py
2021,81,day9.R
2021,16474,total
2022,69,day10.js
2022,201,day11.rb
2022,78,day12.py
2022,84,day13.py
2022,138,day14.py
2022,98,day15.py
2022,153,day16.py
2022,161,day17.py
2022,111,day18.py
2022,130,day19.py
2022,18,day1.py
2022,84,day20.py
2022,139,day21.R
2022,359,day22.py
2022,121,day23.py
2022,143,day24.py
2022,38,day25.py
2022,51,day2.sh
2022,99,day3.rkt
2022,50,day4.rb
2022,108,day5.lua
2022,25,day6.js
2022,82,day7.py
2022,88,day8.R
2022,198,day9.py
2022,2826,total
